generation,fittest,upper_quartile,mean,lower_quartile,least_fit,median,coverage,collisions
0,-124.99997127309526,-248.4561929994038,-335.59092320813056,-397.03439014123256,-827.1611996806515,-314.91439487222806,22.601919528118696,14.760189080121396
1,-107.49878950507497,-123.81621274451093,-125.37051206057077,-126.2991648444994,-147.51881689081128,-124.99394568118421,21.780051531146505,12.927884103622148
2,-100.96166574806134,-106.91829866740545,-108.4806753374515,-109.73954267809273,-122.3113391758743,-107.75527987955724,19.75085344912247,12.071251919718382
3,-91.38382126416965,-99.89574750637792,-101.41285026952524,-102.15951684247702,-120.7007834059639,-100.95913437937024,18.455454484030795,10.983927574820045
4,-86.21899446364475,-90.97853648080664,-92.75848436026868,-93.42458449528641,-120.29588989974768,-91.49962438767375,18.559470755059813,10.477846521870456
5,-77.7323923680134,-85.17703493722902,-87.02714728900905,-88.62192445836834,-96.52035641344048,-86.280896988803,16.914497743999583,9.464689011201298
6,-71.73448281639166,-77.3836945551148,-78.34563763947055,-79.25241609670725,-86.3587296159642,-78.0120010813662,16.87945869337699,8.861394150976865
7,-67.51839634751363,-71.21122874797616,-72.07237209061066,-72.91721885397801,-78.38813496897478,-71.72911989950548,15.558961687168784,8.307735803468242
8,-60.440541266714064,-67.08181037480783,-68.40748271873768,-68.8424560938173,-87.45394164990307,-67.57726954274325,13.131288512698688,7.357182977941275
9,-55.39335752576088,-60.04871060703373,-60.738356981500196,-61.13188905394087,-68.17287725757878,-60.482513771426426,13.217571169183786,6.861092869494466
10,-50.13637374025181,-55.141314201086324,-55.84828223029925,-56.20559869006802,-64.71546391060998,-55.410629992255494,13.220295417075386,6.33566691573272
11,-47.50063480307056,-49.722551863250054,-50.40882118790888,-50.78976085108387,-59.049416618540704,-50.14944082020261,12.353035297075465,5.985367010014603
12,-45.20049043343724,-47.19076226244498,-48.015979235413006,-48.4563554173719,-55.652132384752946,-47.556010575955824,11.431344054364185,5.663183448780143
13,-42.19429298335554,-44.81033216297502,-45.71773352820537,-45.89630009003013,-55.8248987692258,-45.2079860414127,10.649473397576775,5.2843766380932315
14,-38.64471893641215,-41.922872645563984,-42.589217886797904,-42.913434993618615,-49.277420970130805,-42.19849429853668,10.651228376650106,4.929594731306226
15,-35.544438915813814,-38.28572784013789,-39.38926618268751,-39.78283749929112,-50.04561106032163,-38.6426913817919,10.645634988319276,4.619007390413309
16,-33.44469563314253,-35.0870057850901,-35.933196024298574,-36.30957601738038,-40.743073766571406,-35.54270590416386,10.99991169704774,4.444460733019026
17,-31.557639984220025,-33.09823218100539,-34.08196816645415,-34.46528451604807,-43.94983932225454,-33.556987147750235,10.747904791809795,4.230554477602982
18,-29.32403969576744,-31.337663167261155,-32.01590600457629,-32.293371105524955,-39.314547211320196,-31.64858238581872,9.566878147905484,3.889091784367292
19,-27.477040409790533,-29.25802232105893,-29.76176385861886,-29.80975901633479,-35.03314804623194,-29.4175419051223,8.565834513616123,3.6042874923406654
20,-25.7067601689825,-27.368828799558585,-28.02124548514566,-28.29543357148723,-33.77637365581651,-27.629387020294573,8.224840685483072,3.393160085446557
21,-23.609608537504613,-25.681731134456413,-26.29245591117308,-26.60415747140683,-31.14343221009418,-25.924748998823745,8.222380720652428,3.183198925815704
22,-22.197603950991624,-23.412751561161127,-23.9757004662029,-24.241509205554976,-27.73742255219399,-23.67204410890675,7.673370426453412,2.9870974377445036
23,-20.93803055134654,-22.09364009076554,-22.600893514992638,-22.868766491766166,-27.269106522961664,-22.257308292019744,7.6877230785787765,2.8625753629925317
24,-20.131781170170445,-20.808500860318922,-21.246347423431818,-21.3753763295748,-24.558502722193538,-20.972672072415953,7.710812346354552,2.7842593516524996
25,-18.958848542439497,-20.04075848504564,-20.505361991373892,-20.603250943997793,-25.050581514890915,-20.177907291729834,7.7045439409296534,2.6663392483369153
26,-17.616542291349212,-18.755063692640032,-19.182035100423885,-19.54868420066726,-22.385320054217292,-18.97102536728253,7.6488420617089155,2.5265384353058127
27,-16.133193109690563,-17.57210785372381,-18.005908686385283,-18.186117747772883,-21.067096955159542,-17.715094883570742,7.127811374780847,2.326100448447141
28,-15.07657165142123,-16.051236309870184,-16.553189687060915,-16.660407943547494,-21.79607785842883,-16.20393202167848,7.1404764683144295,2.2217048119735656
29,-13.867498054804354,-14.909764124365427,-15.419629426694106,-15.622973702054583,-24.217508028448087,-15.086135047558612,6.775740817918735,2.064323887272309
30,-13.066831907213277,-13.829127330255158,-14.194988696867568,-14.584874023716377,-16.263197161053267,-13.999418944225921,6.703408724724135,1.9770240631937412
31,-11.672095068588074,-12.948592440340708,-13.37748978213181,-13.539276893178233,-17.07643781673548,-13.15132586247881,5.942907149198297,1.7615002217786373
32,-10.740329967714322,-11.601966641592185,-12.07571407325196,-12.208046407085757,-15.144921708383926,-11.733992254173884,5.66826877472778,1.6408598742442102
33,-10.094448971336202,-10.676605364001624,-10.970126089560768,-11.165978717945796,-13.94674449541345,-10.821689526620741,5.664856570403919,1.575930554174012
34,-9.439591993627833,-10.087462145540897,-10.338850438184647,-10.561003554737049,-12.760085216040292,-10.191378831464753,5.522221908250208,1.496181390187804
35,-8.960924119599765,-9.402273377453815,-9.76173515120163,-10.051670967149736,-11.75012974414984,-9.55911445283479,5.529255741361965,1.449017986096173
36,-8.155793199636689,-8.889405585973119,-9.15839962157857,-9.282643259308461,-11.233497636776214,-8.991733263114225,5.299409570037515,1.3455202769674204
37,-7.580857175160191,-8.099243093090223,-8.499970686374358,-8.620003949198438,-11.631678501202243,-8.237455964896174,5.122135677141524,1.2702992852301715
38,-7.094395894830711,-7.532685304627745,-7.866243879872119,-7.977263602461528,-12.808525005703348,-7.654162109712285,5.122702424278145,1.2217098319108857
39,-6.562442654573413,-7.0652143469082125,-7.4055158171498805,-7.503681578147511,-10.39932870441827,-7.183945095289923,5.122393613248928,1.168483626782234
40,-5.522264962340768,-6.5366332903724365,-6.8268890532312785,-6.990141672179005,-9.190245541232027,-6.659720826013179,5.151156572768719,1.0673421535109486
41,-4.987821317187357,-5.499660639123675,-5.7462936167784875,-5.930958289469194,-9.060864206854298,-5.592451774839038,4.912213296311825,0.9900034613499181
42,-4.598470656336667,-4.976814651998406,-5.252185048849429,-5.393292368103949,-9.467640010732019,-5.061247233628777,4.55096128434016,0.9149431940676828
43,-4.283806194518546,-4.602992156457813,-4.858523710985184,-5.0318616085437196,-6.547147608651722,-4.6956024605610445,4.478681125770543,0.876248732028909
44,-3.9448309831570514,-4.276863924006636,-4.554787762245567,-4.624558204021221,-7.495083675224332,-4.360942293352689,4.475563516469584,0.8420394499626634
45,-3.6592186327471214,-3.9230040890897753,-4.149283529811619,-4.304173055365852,-7.098290252658051,-3.9967878972874407,4.543370079182187,0.820258871192931
46,-3.25708731465335,-3.6595393665725027,-3.9238252706906964,-4.004731922445832,-7.03554791746023,-3.7638557793235843,4.54002124222207,0.7797108556875421
47,-2.877815758621027,-3.2469530415548755,-3.5207469929649338,-3.7484901020640216,-5.633222260648425,-3.3427606874910625,3.9822272654259634,0.686004302404699
48,-2.5471859123781964,-2.871805025140307,-3.0937374857888034,-3.2301903338668105,-4.536341681359311,-2.974255530524505,3.9972414395720484,0.6544427351950245
49,-2.1487716748392875,-2.545506665217708,-2.7541973099136228,-2.8584292927869326,-4.8692185092031295,-2.6019450759367713,4.009390788302487,0.6158162463141774
50,-1.8924575798321674,-2.1425297136994006,-2.387552183856367,-2.5054136641155518,-3.9496703966002498,-2.2308379584112483,4.009659941782876,0.5902117521615043
51,-1.6077647923849514,-1.8814647839708032,-2.0642090821253367,-2.1483989466157505,-4.00772996658281,-1.9276110606522252,3.9635563394381736,0.5571321131823125
52,-1.4593932219536665,-1.604640440546008,-1.7515178366608954,-1.8482798748184885,-2.56146007440943,-1.678158936590168,3.968991582702179,0.5428384804655846
53,-1.292918420755551,-1.4667073418464196,-1.6732124122183192,-1.8485387235262247,-2.7460915486198467,-1.548928581644775,3.944405906015176,0.5237324326770727
54,-1.1405875206822285,-1.2980588749197435,-1.5386409294177479,-1.72822084548763,-2.885049255933846,-1.3866856584831924,3.9595959221557986,0.5100183442838027
55,-0.8554793020347167,-1.146829481822122,-1.334999257033346,-1.5102235321535256,-2.0297420560428225,-1.2663790736707128,3.846421409819142,0.47019007118538586
56,-0.6355288032835826,-0.8577014280634976,-1.0922951121987905,-1.229517708124476,-3.543646926981821,-0.9373006096025753,3.73051723425284,0.4366046037536423
57,-0.5364933915345644,-0.6349766845899976,-0.8219719439420319,-0.9012680903594705,-2.2694598912250177,-0.7267195330893195,3.706738412824754,0.42432318043593187
58,-0.3615859719640162,-0.5347083920219631,-0.7516777586183003,-0.8558257601323542,-2.0975382843691426,-0.6183825602529349,3.7098560221257073,0.40714419940897234
59,-0.1672437724873328,-0.36181045708519033,-0.5464507699025849,-0.6395874555184866,-2.722746590857321,-0.4352800230596692,3.712749146305483,0.38799929187928156
60,0.0715623963630101,-0.1725335999035118,-0.3439108260266565,-0.45809359355476964,-1.742131048682352,-0.2483706455634047,4.7824241551246045,0.4710861758761595
61,0.1714007193881386,0.07156239636300477,-0.14247239961339936,-0.2405774622749428,-1.4697377388891644,-0.03390129888168314,4.782424155124601,0.46110234357364627
62,0.4507506033457256,0.17140071938813684,-0.03655117567638027,-0.1809896700334006,-3.0595048224500294,0.10814340878010364,5.419055797033504,0.49683051936877787
63,0.6157310550539643,0.43931535633373553,0.2057403384063267,0.11758012652263439,-2.3303352204296743,0.3024217205358273,5.643522197466086,0.5027791142412121
64,0.818089810911256,0.6042561673214308,0.3697974240523456,0.3576445752671038,-1.9029017496208587,0.5201764996086546,5.655954398905762,0.48378645879945065
